0	0	0
1	0	0
0.586792	-0.37658	-0.71684
0.894195	0.022917	0.447091
0.729281	-0.41097	0.547041
-0.15425	0.964369	-0.21494
0.117136	0.773539	-0.62283
-0.40757	-0.41499	-0.81343
0.21133	0.753738	0.622269
0.095375	-0.96952	0.2257
-0.13545	-0.03349	-0.99022
-0.14212	-0.75052	-0.64538
-0.63701	0.746109	-0.19376
0.080563	0.971669	0.222192
0.106871	-0.02121	0.994047
0.298747	0.387214	0.872247
-0.20749	-0.80343	0.558072
0.331125	-0.04034	-0.94272
-0.80529	-0.58949	-0.06323
0.337278	-0.74977	-0.56928
0.592396	-0.76139	0.263348
-0.08898	-0.46565	0.880485
-0.52798	-0.43093	0.731803
-0.36911	-0.92708	0.065397
0.311914	0.926381	-0.21102
-0.68451	0.439336	-0.58175
-0.03011	-0.96662	-0.25443
-0.33757	0.744654	-0.57579
-0.5748	0.024806	-0.81791
0.271135	-0.74783	0.605996
-0.93518	0.185421	0.301743
0.889083	0.309665	-0.3371
-0.88434	0.033574	-0.46563
0.545045	0.586317	-0.5993
-0.35077	-0.01627	0.936319
0.416158	-0.90053	-0.12594
-0.73265	0.00325	0.680593
-0.73921	0.611423	0.282368
-0.25635	0.406875	-0.87678
-0.91902	0.372522	-0.12893
-0.25729	0.765486	0.589773
-0.58983	0.433953	0.681016
0.891136	-0.18596	-0.41388
0.679067	0.142105	-0.72019
-0.87981	-0.30955	0.360705
-0.62161	-0.69719	0.357102
0.89705	-0.43021	0.101102
-0.16335	0.417893	0.893691
-0.50718	-0.77831	-0.37014
0.107015	-0.4464	-0.88841
0.883485	0.435264	0.173205
0.598171	0.029843	0.800812
0.696192	0.698104	-0.16724
-0.39356	0.900808	0.183464
-0.76109	-0.4029	-0.50835
0.210324	0.396164	-0.89377
0.376032	-0.37895	0.845572
0.735763	-0.61146	-0.29115
-0.98721	-0.14587	-0.06427
0.529212	0.807365	0.260953
0.662918	0.472672	0.580621
